is_rumor,thread,in_reply_tweet,event,is_source_tweet,user_id,tweet_length,text,created,has_smile_emoji,sensitive,has_quest,has_exclaim,has_quest_or_exclaim,user.verified,user.handle_length,user.time_zone,user.desc_length,user.created_at,user.location,user.utc_dist,hasperiod,number_punct,negativewordcount,positivewordcount,capitalratio,contentlength,sentimentscore,Noun,Verb,Adjective,Pronoun,FirstPersonPronoun,SecondPersonPronoun,ThirdPersonPronoun,Adverb,has_url_in_text
0,580319983676313601,,germanwings-crash,1,8330472,98,#Últimahora Es tracta d'un aparell de Germanwings amb 152 passatgers a bord http://t.co/hT5BhpuGuv,1427194040000.0,0,0,0,0,0,1,7,Madrid,115,1187704999000.0,1,0.0,1,11,1,0,0.05154639175257732,13,0.0,9,1,0,0,0,0,0,0,1
0,580319983676313601,5.803199836763136e+17,germanwings-crash,0,2307392966,109,“@324cat: #Últimahora Es tracta d'un aparell de Germanwings amb 152 passatgers a bord http://t.co/21WZNksDNr”,1427194724000.0,0,0,0,0,0,0,7,,121,1390519617000.0,1,,1,16,1,0,0.0660377358490566,14,0.0,8,1,1,0,0,0,0,0,1
0,580319983676313601,5.803228518504612e+17,germanwings-crash,0,2535310842,36,@senyera @324cat 148 pasajeros 142+6,1427194790000.0,0,0,0,0,0,0,13,,34,1401464358000.0,1,,0,11,0,0,0.0,5,0.0,2,0,0,0,0,0,0,0,0
0,580319983676313601,5.803231270890824e+17,germanwings-crash,0,2535310842,72,@senyera @324cat dice el ministro frances que no hay supervivientes.....,1427195412000.0,0,0,0,0,0,0,13,,34,1401464358000.0,1,,5,8,0,0,0.0,10,0.0,6,1,0,0,0,0,0,0,0
0,580321203757387776,,germanwings-crash,1,92771309,85,Route map now being shared by http://t.co/LZkOXadHKa. #4U9525 https://t.co/Hq8KbP2aus,1427194331000.0,0,0,0,0,0,1,10,London,108,1259248119000.0,1,,3,19,0,0,0.12941176470588237,9,0.0,4,2,0,0,0,0,0,0,1
0,580321203757387776,5.803212037573878e+17,germanwings-crash,0,161546098,117,結構な山の中だぞ、それは…… “@BBCRosAtkins: Route map now being shared by http://t.co/TReBlGaejq. #4U9525 https://t.co/JLODk6S8ri”,1427195084000.0,0,0,0,0,0,0,2,Hawaii,86,1277955691000.0,0,11.0,3,20,0,0,0.15841584158415842,10,0.0,5,2,0,0,0,0,0,0,1
0,580322026029654018,,germanwings-crash,1,366089337,39,Pray for #4U9525 http://t.co/II7Rl24ffH,1427194527000.0,0,0,0,0,0,0,6,Alaska,20,1314889821000.0,1,9.0,1,14,0,0,0.15384615384615385,4,0.0,2,0,0,0,0,0,0,0,1
0,580322026029654018,5.80322026029654e+17,germanwings-crash,0,744921588,100,"“@f4izalhassan: Pray for #4U9525 http://t.co/d3871HDJp3”

إِنَّا لِلّهِ وَإِنَّـا إِلَيْهِ رَاجِعونَ",1427197034000.0,0,0,0,0,0,0,19,Kuala Lumpur,122,1344421441000.0,1,7.0,1,18,0,0,0.08333333333333333,5,0.0,2,0,1,0,0,0,0,0,1
0,580322102307373056,,germanwings-crash,1,16211566,109,"Airbus A320 #4U9525 crash: 
Flight tracking data here: 
http://t.co/9W6hfTGYQV #airbus http://t.co/RchXQsoqdJ",1427194545000.0,0,0,0,0,0,1,17,London,159,1220995505000.0,1,,2,24,0,0,0.12844036697247707,11,0.0,6,2,1,0,0,0,0,0,1
0,580322102307373056,5.80322102307373e+17,germanwings-crash,0,59812246,122,Estou arrepiada :(( RT @MattNavarra Airbus A320 #4U9525 crash: Flight tracking data here: http://t.co/R65eGUl5bk … #airbus,1427194862000.0,0,0,0,0,0,0,10,Lisbon,109,1248450007000.0,1,0.0,1,23,0,0,0.09917355371900827,14,-0.75,9,3,0,0,0,0,0,0,1
0,580322102307373056,5.80322102307373e+17,germanwings-crash,0,40643525,143,"@MattNavarra graph based on tracking data. Stall, decompression &amp; commanded descent or loss of structural integrity? http://t.co/m6akwotmns",1427201101000.0,0,0,1,0,1,0,19,Athens,0,1242558629000.0,1,2.0,2,11,0,0,0.02097902097902098,17,0.0,10,3,1,0,0,0,0,0,1
0,580322102307373056,5.80322102307373e+17,germanwings-crash,0,97357772,128,"RT “@MattNavarra: Airbus A320 #4U9525 crash: 
Flight tracking data here: 
http://t.co/YCOK51PHvv #airbus http://t.co/pFEumX3xhQ”",1427202163000.0,0,0,0,0,0,0,9,Alaska,140,1261022283000.0,1,9.0,2,26,0,0,0.14285714285714285,13,0.0,8,2,1,0,0,0,0,0,1
0,580322332348190720,,germanwings-crash,1,92771309,84,Flightradar24 has this as the plane's last position. #4U9525 https://t.co/KffO4s4N6G,1427194600000.0,0,0,0,0,0,1,10,London,108,1259248119000.0,1,,2,18,0,0,0.07142857142857142,10,0.0,4,1,1,0,0,0,0,0,1
0,580322332348190720,5.803223323481907e+17,germanwings-crash,0,16933178,106,“@BBCRosAtkins: Flightradar24 has this as the plane's last position. #4U9525 https://t.co/2CN8LrhwWj” @T13,1427194670000.0,0,0,0,0,0,0,10,Santiago,153,1224789026000.0,1,4.0,2,20,0,0,0.11538461538461539,12,0.0,6,1,1,0,0,0,0,0,1
0,580322332348190720,5.803223323481907e+17,germanwings-crash,0,1040962352,104,RT “@BBCRosAtkins: Flightradar24 has this as the plane's last position. #4U9525 https://t.co/sWDS9KoyxA”,1427194688000.0,0,0,0,0,0,0,15,Sydney,160,1356655061000.0,1,10.0,2,17,0,0,0.13725490196078433,12,0.0,6,1,1,0,0,0,0,0,1
0,580322332348190720,5.803223323481907e+17,germanwings-crash,0,19910285,121,6800ft far too low RT @BBCRosAtkins: Flightradar24 has this as the plane's last position. #4U9525 https://t.co/hBZhx4Criy,1427194869000.0,0,0,0,0,0,0,12,London,56,1233586896000.0,1,0.0,2,21,0,0,0.09917355371900827,16,0.03333333333333333,6,1,2,0,0,0,0,0,1
0,580322332348190720,5.803234604647916e+17,germanwings-crash,0,116910049,122,"@Jonny_Hallam @BBCRosAtkins rate of descent very steep, though groundspeed suggests it wasn't stalled + falling out of sky",1427195027000.0,0,0,0,0,0,0,14,London,133,1266968208000.0,0,0.0,0,4,0,0,0.05737704918032787,17,0.2,4,3,3,1,0,0,1,0,0
0,580322332348190720,5.803234604647916e+17,germanwings-crash,0,19145560,39,@Jonny_Hallam @BBCRosAtkins no mayday ?,1427195082000.0,0,0,1,0,1,0,7,London,26,1232289391000.0,0,0.0,0,2,0,0,0.1794871794871795,4,0.0,3,0,0,0,0,0,0,0,0
0,580322332348190720,5.803234604647916e+17,germanwings-crash,0,22272218,137,@Jonny_Hallam @benmarsh @BBCRosAtkins It's the Vertical Speed of -3584fpm and the speed of the aircraft of 378kt which is most concerning,1427195159000.0,0,0,0,0,0,0,11,,154,1235839782000.0,0,,0,10,0,0,0.072992700729927,21,0.5,7,2,0,0,0,0,1,0,0
0,580322332348190720,5.803234604647916e+17,germanwings-crash,0,18329957,93,"@Jonny_Hallam very low, but was it flying low or on its way down when that reading was taken?",1427195252000.0,0,0,1,0,1,0,12,London,125,1230022997000.0,1,0.0,0,3,1,0,0.021505376344086023,18,-0.051851851851851864,3,4,2,1,0,0,2,0,0
0,580322332348190720,5.80325067118252e+17,germanwings-crash,0,19910285,73,@dgoneill not intentional altitude at that rate of descent I would think.,1427195534000.0,0,0,0,0,0,0,12,London,56,1233586896000.0,1,0.0,1,1,0,0,0.0136986301369863,12,0.0,4,1,1,1,0,0,0,0,0
