is_rumor,thread,in_reply_tweet,event,is_source_tweet,user_id,tweet_length,text,created,has_smile_emoji,sensitive,has_quest,has_exclaim,has_quest_or_exclaim,user.verified,user.handle_length,user.time_zone,user.desc_length,user.created_at,user.location,user.utc_dist,hasperiod,number_punct,negativewordcount,positivewordcount,capitalratio,contentlength,sentimentscore,Noun,Verb,Adjective,Pronoun,FirstPersonPronoun,SecondPersonPronoun,ThirdPersonPronoun,Adverb,has_url_in_text
0,524922078638903296,,ottawashooting,1,18999969,105,Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews,1413986150000.0,0,0,0,0,0,0,10,Eastern Time (US & Canada),84,1231973179000.0,1,0.0,3,5,0,0,0.10476190476190476,17,0.0625,10,2,1,0,0,0,0,0,0
0,524922078638903296,5.249220786389033e+17,ottawashooting,0,2433907530,48,.@dominiquehardy @CBCOttawa related to St-Jean ?,1413986225000.0,0,0,1,0,1,0,14,Eastern Time (US & Canada),125,1396975429000.0,1,0.0,1,3,0,0,0.125,5,0.0,2,2,0,0,0,0,0,0,0
0,524922078638903296,5.249223925825864e+17,ottawashooting,0,15816550,67,@petitmetroide @CBCOttawa Il est tôt pour une quelconque hypothèse.,1413986272000.0,0,0,0,0,0,0,14,Eastern Time (US & Canada),127,1218503055000.0,1,0.0,1,1,0,0,0.07692307692307693,9,0.0,6,0,1,0,0,0,0,0,0
0,524922078638903296,5.249220786389033e+17,ottawashooting,0,1206639234,133,Prudence avant d'en savoir plus “@CBCOttawa: Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info.,1413986294000.0,0,0,0,0,0,0,18,Central Time (US & Canada),159,1361502610000.0,1,1.0,3,5,0,0,0.07575757575757576,21,0.0625,12,2,2,0,0,0,0,0,0
0,524922078638903296,5.249226815952691e+17,ottawashooting,0,347531577,139,"@StephBerthomet Ça va être rapporté partout sans validation,sur les radio poubelles pour crée une panique collective. L'EI nous attaque !!!",1413986387000.0,0,0,0,1,1,0,8,Quito,58,1312326757000.0,1,1.0,1,6,0,0,0.037037037037037035,19,0.0,12,3,3,0,0,0,0,0,0
0,524922078638903296,5.249220786389033e+17,ottawashooting,0,96146974,119,“@CBCOttawa: Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews”,1413986393000.0,0,0,0,0,0,0,9,Paris,147,1260545322000.0,1,6.0,3,6,0,0,0.1282051282051282,18,0.0625,11,2,1,0,0,0,0,0,0
0,524922078638903296,5.249220786389033e+17,ottawashooting,0,19267038,136,"Wow. Drove by, saw yellow tape, assumed renos. MT @CBCOttawa: Ottawa police confirm a shooting at the War Memorial minutes ago. #OTTnews",1413986472000.0,0,0,0,0,0,0,12,Atlantic Time (Canada),149,1232497700000.0,1,1.0,3,7,0,1,0.10294117647058823,22,0.05,12,3,2,0,0,0,0,0,0
0,524922078638903296,5.249226815952691e+17,ottawashooting,0,347531577,57,@StephBerthomet @CBCOttawa c'est déjà sur LCN et partout.,1413986675000.0,0,0,0,0,0,0,8,Quito,58,1312326757000.0,1,1.0,1,2,0,0,0.16363636363636364,8,0.0,6,1,0,0,0,0,0,0,0
0,524922078638903296,5.249230710909174e+17,ottawashooting,0,582603780,75,“@RenkoQC: @StephBerthomet Ça va être ...Pkoi parles tu de radio poubelle ?,1413986721000.0,0,0,1,0,1,0,18,Atlantic Time (Canada),139,1337238506000.0,1,1.0,3,5,0,0,0.08333333333333333,11,0.0,6,1,0,0,0,0,0,0,0
0,524922078638903296,5.249230710909174e+17,ottawashooting,0,18669387,67,@RenkoQC @StephBerthomet Heinh?? Ça va man? Tu as pris te pilules ?,1413986918000.0,0,0,1,0,1,0,18,Eastern Time (US & Canada),128,1231237560000.0,0,0.0,0,4,0,0,0.10606060606060606,11,0.0,9,0,0,0,0,0,0,0,0
